;Unnamed: 0;id;link;author;description;source;favorite_count;retweet_count;lang;tweet_type;user_statuses_count;user_friends_count;user_followers_count;"boost_value";cleaned;token;re_stop;stem;join;polarity
10;10;14;https://twitter.com/nur_syhdh/statuses/1587360804302917633;nur_syhdh;@PT_Transjakarta kenapa #jaklingko 59 rute Rawamangun rawasengon supirnya pada ga mau beroperasi pada hari Selasa 01/11/22 ? kasian yang mau kerja biasa naik jaklingko 59 harus pakai transportasi lain malah harus muter dan lebih jauh lagi 🥲;Twitter for Android;0;0;in;original;28;23;1;0;kenapa rute rawamangun rawasengon supirnya pada ga mau beroperasi pada hari selasa kasian yang mau kerja biasa naik jaklingko harus pakai transportasi lain malah harus muter dan lebih jauh lagi;['kenapa', 'rute', 'rawamangun', 'rawasengon', 'supirnya', 'pada', 'ga', 'mau', 'beroperasi', 'pada', 'hari', 'selasa', 'kasian', 'yang', 'mau', 'kerja', 'biasa', 'naik', 'jaklingko', 'harus', 'pakai', 'transportasi', 'lain', 'malah', 'harus', 'muter', 'dan', 'lebih', 'jauh', 'lagi'];['rute', 'rawamangun', 'rawasengon', 'supirnya', 'ga', 'beroperasi', 'selasa', 'kasian', 'kerja', 'jaklingko', 'pakai', 'transportasi', 'muter'];['rute', 'rawamangun', 'rawasengon', 'supirnya', 'ga', 'operasi', 'selasa', 'kasi', 'kerja', 'jaklingko', 'pakai', 'transportasi', 'muter'];rute rawamangun rawasengon supirnya ga operasi selasa kasi kerja jaklingko pakai transportasi muter;0
11;11;15;https://twitter.com/wawanalwan27/statuses/1587359139788824576;wawanalwan27;@Heizou_Angkasa @poweranger008 @Mdy_Asmara1701 Jakarta dianggap ngga becus dalam kampanye lingkungan dalam mengahadapi climate change (butuh proses), padahal udah banyak aksinya, seperti pedestarian lebih banyak, jalur sepeda, Jaklingko, rules penggunaan air tanah, sumur resapan, RTH limpahan banjir dll. Provinsi lain??? https://t.co/tMWxJ4pAF6;Twitter for Android;0;0;in;reply;3402;295;410;0;jakarta dianggap ngga becus dalam kampanye lingkungan dalam mengahadapi climate change butuh proses padahal udah banyak aksinya seperti pedestarian lebih banyak jalur sepeda jaklingko rules penggunaan air tanah sumur resapan rth limpahan banjir dll provinsi lain;['jakarta', 'dianggap', 'ngga', 'becus', 'dalam', 'kampanye', 'lingkungan', 'dalam', 'mengahadapi', 'climate', 'change', 'butuh', 'proses', 'padahal', 'udah', 'banyak', 'aksinya', 'seperti', 'pedestarian', 'lebih', 'banyak', 'jalur', 'sepeda', 'jaklingko', 'rules', 'penggunaan', 'air', 'tanah', 'sumur', 'resapan', 'rth', 'limpahan', 'banjir', 'dll', 'provinsi', 'lain'];['jakarta', 'dianggap', 'ngga', 'becus', 'kampanye', 'lingkungan', 'mengahadapi', 'climate', 'change', 'butuh', 'proses', 'udah', 'aksinya', 'pedestarian', 'jalur', 'sepeda', 'jaklingko', 'rules', 'penggunaan', 'air', 'tanah', 'sumur', 'resapan', 'rth', 'limpahan', 'banjir', 'dll', 'provinsi'];['jakarta', 'anggap', 'ngga', 'becus', 'kampanye', 'lingkung', 'mengahadapi', 'climate', 'change', 'butuh', 'proses', 'udah', 'aksi', 'pedestarian', 'jalur', 'sepeda', 'jaklingko', 'rules', 'guna', 'air', 'tanah', 'sumur', 'resap', 'rth', 'limpah', 'banjir', 'dll', 'provinsi'];jakarta anggap ngga becus kampanye lingkung mengahadapi climate change butuh proses udah aksi pedestarian jalur sepeda jaklingko rules guna air tanah sumur resap rth limpah banjir dll provinsi;0
12;12;16;https://twitter.com/PT_Transjakarta/statuses/1587355995210121217;PT_Transjakarta;"@Aulanisa__ Hai Kak. Mohon maaf atas kendala yang dialami, mengenai saldo terpotong 2 kali, silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi :
📱 (Whatsapp) : 0812-6000-1440
☎️ (Phone) : 021-29223034
📩 (Email) : customercare@jaklingkoindonesia.co.id. Terima kasih ^TH";Genesys Social Engagement.;0;0;in;reply;430084;22;482400;0;hai kak mohon maaf atas kendala yang dialami mengenai saldo terpotong kali silakan laporkan ke nomor customer care jaklingko yang dapat di hubungi whatsapp phone email terima kasih th;['hai', 'kak', 'mohon', 'maaf', 'atas', 'kendala', 'yang', 'dialami', 'mengenai', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'ke', 'nomor', 'customer', 'care', 'jaklingko', 'yang', 'dapat', 'di', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'th'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'dialami', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'nomor', 'customer', 'care', 'jaklingko', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'th'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'alami', 'saldo', 'potong', 'kali', 'sila', 'lapor', 'nomor', 'customer', 'care', 'jaklingko', 'hubung', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'th'];hai kak mohon maaf kendala alami saldo potong kali sila lapor nomor customer care jaklingko hubung whatsapp phone email terima kasih th;0
13;13;17;https://twitter.com/SangPejuank/statuses/1587355911848595456;SangPejuank;"@tatakujiyati Halah..  Emang pak DI ggk nanyain BARCA yg mau main di JIS? Biaya transportasi jaklingko kemarin itu bikin ribut supir dan penumpang. Siapa bilang murah? Implemntasinya kacau balau. Saldo penumpang terpotong berkali kali. Malah bayar lebih mahal. 

Ini capaian nya yg asli https://t.co/H2c3a2SBBf";Twitter for Android;0;4;in;retweet;5896;391;250;1.6;halah emang pak di ggk nanyain barca yg mau main di jis biaya transportasi jaklingko kemarin itu bikin ribut supir dan penumpang siapa bilang murah implemntasinya kacau balau saldo penumpang terpotong berkali kali malah bayar lebih mahal ini capaian nya yg asli;['halah', 'emang', 'pak', 'di', 'ggk', 'nanyain', 'barca', 'yg', 'mau', 'main', 'di', 'jis', 'biaya', 'transportasi', 'jaklingko', 'kemarin', 'itu', 'bikin', 'ribut', 'supir', 'dan', 'penumpang', 'siapa', 'bilang', 'murah', 'implemntasinya', 'kacau', 'balau', 'saldo', 'penumpang', 'terpotong', 'berkali', 'kali', 'malah', 'bayar', 'lebih', 'mahal', 'ini', 'capaian', 'nya', 'yg', 'asli'];['halah', 'emang', 'ggk', 'nanyain', 'barca', 'main', 'jis', 'biaya', 'transportasi', 'jaklingko', 'kemarin', 'bikin', 'ribut', 'supir', 'penumpang', 'bilang', 'murah', 'implemntasinya', 'kacau', 'balau', 'saldo', 'penumpang', 'terpotong', 'berkali', 'kali', 'bayar', 'mahal', 'capaian', 'nya', 'asli'];['halah', 'emang', 'ggk', 'nanyain', 'barca', 'main', 'jis', 'biaya', 'transportasi', 'jaklingko', 'kemarin', 'bikin', 'ribut', 'supir', 'tumpang', 'bilang', 'murah', 'implemntasinya', 'kacau', 'balau', 'saldo', 'tumpang', 'potong', 'kali', 'kali', 'bayar', 'mahal', 'capai', 'nya', 'asli'];halah emang ggk nanyain barca main jis biaya transportasi jaklingko kemarin bikin ribut supir tumpang bilang murah implemntasinya kacau balau saldo tumpang potong kali kali bayar mahal capai nya asli;0
14;14;18;https://twitter.com/zuperfin_zid/statuses/1587355797477916674;zuperfin_zid;"@PT_Transjakarta hallo min, mau tanya, rekomendasi halte untuk membeli kartu jaklingko dimana ya, karena beberapa halte suka kehabisan dan tidak tersedia ? Dan yang terintegrasi dengan statsiun KRL min.
Mohon informasi nya";Twitter for Android;1;0;in;original;169;78;39;1;hallo min mau tanya rekomendasi halte untuk membeli kartu jaklingko dimana ya karena beberapa halte suka kehabisan dan tidak tersedia dan yang terintegrasi dengan statsiun krl min mohon informasi nya;['hallo', 'min', 'mau', 'tanya', 'rekomendasi', 'halte', 'untuk', 'membeli', 'kartu', 'jaklingko', 'dimana', 'ya', 'karena', 'beberapa', 'halte', 'suka', 'kehabisan', 'dan', 'tidak', 'tersedia', 'dan', 'yang', 'terintegrasi', 'dengan', 'statsiun', 'krl', 'min', 'mohon', 'informasi', 'nya'];['hallo', 'min', 'rekomendasi', 'halte', 'membeli', 'kartu', 'jaklingko', 'dimana', 'ya', 'halte', 'suka', 'kehabisan', 'tersedia', 'terintegrasi', 'statsiun', 'krl', 'min', 'mohon', 'informasi', 'nya'];['hallo', 'min', 'rekomendasi', 'halte', 'beli', 'kartu', 'jaklingko', 'mana', 'ya', 'halte', 'suka', 'habis', 'sedia', 'integrasi', 'statsiun', 'krl', 'min', 'mohon', 'informasi', 'nya'];hallo min rekomendasi halte beli kartu jaklingko mana ya halte suka habis sedia integrasi statsiun krl min mohon informasi nya;1
15;15;19;https://twitter.com/indhae13_/statuses/1587351201070592002;indhae13_;"Mau tanya dong bisa ga ya min masuk keragunan pke kartu jaklingko bni/emoney/brizi??
@RagunanZOO_";Twitter for iPhone;2;0;in;original;27;30;5;2;mau tanya dong bisa ga ya min masuk keragunan pke kartu jaklingko;['mau', 'tanya', 'dong', 'bisa', 'ga', 'ya', 'min', 'masuk', 'keragunan', 'pke', 'kartu', 'jaklingko'];['ga', 'ya', 'min', 'masuk', 'keragunan', 'pke', 'kartu', 'jaklingko'];['ga', 'ya', 'min', 'masuk', 'keragunan', 'pke', 'kartu', 'jaklingko'];ga ya min masuk keragunan pke kartu jaklingko;1
16;16;20;https://twitter.com/tangguheka/statuses/1587345857703448576;tangguheka;Jelas pilih yg Jaklingko dong.. https://t.co/5WAhDjItz6;Twitter for Android;0;0;in;quote;14558;2122;2175;0;jelas pilih yg jaklingko dong;['jelas', 'pilih', 'yg', 'jaklingko', 'dong'];['pilih', 'jaklingko'];['pilih', 'jaklingko'];pilih jaklingko;1
17;17;21;https://twitter.com/margo_siswadi/statuses/1587343330400415744;margo_siswadi;@aniesbaswedan @DKIJakarta @HarianDisway Keren terutama transportasi jaklingko nya;Twitter for Android;3;0;in;reply;6736;73;178;3;keren terutama transportasi jaklingko nya;['keren', 'terutama', 'transportasi', 'jaklingko', 'nya'];['keren', 'transportasi', 'jaklingko', 'nya'];['keren', 'transportasi', 'jaklingko', 'nya'];keren transportasi jaklingko nya;1
18;18;22;https://twitter.com/sisilainnyasisi/statuses/1587342689602715648;sisilainnyasisi;Halo @PT_Transjakarta , cara klaim kembalian beli kartu JakLingko dari vending machine gimana ya? Saya tungguin konfirmasi dari WA masih belum ada. Saya telpon CS-nya malah cuma dengerin jingle sampe pulsa abis nih. Tolong diproses dong....;Twitter for Android;0;0;in;original;1511;158;46;0;halo cara klaim kembalian beli kartu jaklingko dari vending machine gimana ya saya tungguin konfirmasi dari wa masih belum ada saya telpon csnya malah cuma dengerin jingle sampe pulsa abis nih tolong diproses dong;['halo', 'cara', 'klaim', 'kembalian', 'beli', 'kartu', 'jaklingko', 'dari', 'vending', 'machine', 'gimana', 'ya', 'saya', 'tungguin', 'konfirmasi', 'dari', 'wa', 'masih', 'belum', 'ada', 'saya', 'telpon', 'csnya', 'malah', 'cuma', 'dengerin', 'jingle', 'sampe', 'pulsa', 'abis', 'nih', 'tolong', 'diproses', 'dong'];['halo', 'klaim', 'kembalian', 'beli', 'kartu', 'jaklingko', 'vending', 'machine', 'gimana', 'ya', 'tungguin', 'konfirmasi', 'wa', 'telpon', 'csnya', 'dengerin', 'jingle', 'sampe', 'pulsa', 'abis', 'nih', 'tolong', 'diproses'];['halo', 'klaim', 'kembali', 'beli', 'kartu', 'jaklingko', 'vending', 'machine', 'gimana', 'ya', 'tungguin', 'konfirmasi', 'wa', 'telpon', 'csnya', 'dengerin', 'jingle', 'sampe', 'pulsa', 'abis', 'nih', 'tolong', 'proses'];halo klaim kembali beli kartu jaklingko vending machine gimana ya tungguin konfirmasi wa telpon csnya dengerin jingle sampe pulsa abis nih tolong proses;1
19;19;24;https://twitter.com/nestlenasitim/statuses/1587336102867632129;nestlenasitim;@PT_Transjakarta kalau dari kramat raya ke kemayoran naik jaklingko nomer berapa ya;Twitter for Android;0;0;in;original;22;5;0;0;kalau dari kramat raya ke kemayoran naik jaklingko nomer berapa ya;['kalau', 'dari', 'kramat', 'raya', 'ke', 'kemayoran', 'naik', 'jaklingko', 'nomer', 'berapa', 'ya'];['kramat', 'raya', 'kemayoran', 'jaklingko', 'nomer', 'ya'];['kramat', 'raya', 'mayor', 'jaklingko', 'nomer', 'ya'];kramat raya mayor jaklingko nomer ya;1
20;20;25;https://twitter.com/rtnF14/statuses/1587335761334276096;rtnF14;"Artikel Wikipedia terniat bulan ini : 

https://t.co/dRsOSta3aM";Twitter Web App;2;0;in;original;3114;35;113;2;artikel wikipedia terniat bulan ini;['artikel', 'wikipedia', 'terniat', 'bulan', 'ini'];['artikel', 'wikipedia', 'terniat'];['artikel', 'wikipedia', 'niat'];artikel wikipedia niat;1
21;21;26;https://twitter.com/abdabbad/statuses/1587335380084588546;abdabbad;"@PutraErlangga95 Prestasi;
Biru - Angkutan Jaklingko, inovasi angkutan Pak Gubernur &amp; Tim --&gt; Gratis/Tertib/Tdk ugal2an

Merah - ???";Twitter Web App;1;0;in;reply;366;62;8;1;prestasi biru angkutan jaklingko inovasi angkutan pak gubernur tim gt gratistertibtdk ugalan merah;['prestasi', 'biru', 'angkutan', 'jaklingko', 'inovasi', 'angkutan', 'pak', 'gubernur', 'tim', 'gt', 'gratistertibtdk', 'ugalan', 'merah'];['prestasi', 'biru', 'angkutan', 'jaklingko', 'inovasi', 'angkutan', 'gubernur', 'tim', 'gratistertibtdk', 'ugalan', 'merah'];['prestasi', 'biru', 'angkut', 'jaklingko', 'inovasi', 'angkut', 'gubernur', 'tim', 'gratistertibtdk', 'ugalan', 'merah'];prestasi biru angkut jaklingko inovasi angkut gubernur tim gratistertibtdk ugalan merah;1
22;22;27;https://twitter.com/uwoona228/statuses/1587333424867442688;uwoona228;@treasuremenfess Selalu dibawa krna belakangnya kartu jaklingko wkwkw https://t.co/g3JWEnxrOi;Twitter for Android;0;0;in;reply;2794;765;693;0;selalu dibawa krna belakangnya kartu jaklingko wkwkw;['selalu', 'dibawa', 'krna', 'belakangnya', 'kartu', 'jaklingko', 'wkwkw'];['dibawa', 'krna', 'belakangnya', 'kartu', 'jaklingko', 'wkwkw'];['bawa', 'krna', 'belakang', 'kartu', 'jaklingko', 'wkwkw'];bawa krna belakang kartu jaklingko wkwkw;1
23;23;29;https://twitter.com/PT_Transjakarta/statuses/1587328310924779520;PT_Transjakarta;"@kpsbgj Hai kak. Mohon maaf atas kendala yang dialami, mengenai saldo terpotong 2 kali, silakan laporkan ke nomor Customer Care JakLingko yang dapat di hubungi :
📱 (Whatsapp) : 0812-6000-1440
☎️ (Phone) : 021-29223034
📩 (Email) : customercare@jaklingkoindonesia.co.id. Terima kasih ^RSN";Genesys Social Engagement.;0;0;in;reply;430084;22;482400;0;hai kak mohon maaf atas kendala yang dialami mengenai saldo terpotong kali silakan laporkan ke nomor customer care jaklingko yang dapat di hubungi whatsapp phone email terima kasih rsn;['hai', 'kak', 'mohon', 'maaf', 'atas', 'kendala', 'yang', 'dialami', 'mengenai', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'ke', 'nomor', 'customer', 'care', 'jaklingko', 'yang', 'dapat', 'di', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'rsn'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'dialami', 'saldo', 'terpotong', 'kali', 'silakan', 'laporkan', 'nomor', 'customer', 'care', 'jaklingko', 'hubungi', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'rsn'];['hai', 'kak', 'mohon', 'maaf', 'kendala', 'alami', 'saldo', 'potong', 'kali', 'sila', 'lapor', 'nomor', 'customer', 'care', 'jaklingko', 'hubung', 'whatsapp', 'phone', 'email', 'terima', 'kasih', 'rsn'];hai kak mohon maaf kendala alami saldo potong kali sila lapor nomor customer care jaklingko hubung whatsapp phone email terima kasih rsn;0
