id;author;description;"boost_value";tokenized;stopword_removed;tweet_stemmed;cleaned_tweet;labeling
11;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;"0";['hai', 'kak', 'jika', 'kamu', 'sudah', 'tap', 'out', 'di', 'perjalanan', 'sebelumnya', 'namun', 'saldomu', 'tetap', 'terpotong', 'dua', 'kali', 'di', 'perjalanan', 'yang', 'sama', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'di', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'perjalanan', 'saldomu', 'terpotong', 'kali', 'perjalanan', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'jalan', 'saldo', 'potong', 'kali', 'jalan', 'silah', 'hubung', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];hai kak tap out jalan saldo potong kali jalan silah hubung customer care jli pt jaklingko indonesia nomor wa terima kasih;0
12;PT_Transjakarta;hai kak jika kamu sudah tap out di perjalanan sebelumnya namun saldomu tetap terpotong dua kali di perjalanan yang sama silahkan hubungi customer care jli pt jaklingko indonesia di nomor wa  terima kasih  ;"0";['hai', 'kak', 'jika', 'kamu', 'sudah', 'tap', 'out', 'di', 'perjalanan', 'sebelumnya', 'namun', 'saldomu', 'tetap', 'terpotong', 'dua', 'kali', 'di', 'perjalanan', 'yang', 'sama', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'di', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'perjalanan', 'saldomu', 'terpotong', 'kali', 'perjalanan', 'silahkan', 'hubungi', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];['hai', 'kak', 'tap', 'out', 'jalan', 'saldo', 'potong', 'kali', 'jalan', 'silah', 'hubung', 'customer', 'care', 'jli', 'pt', 'jaklingko', 'indonesia', 'nomor', 'wa', 'terima', 'kasih'];hai kak tap out jalan saldo potong kali jalan silah hubung customer care jli pt jaklingko indonesia nomor wa terima kasih;0
13;nuhundanke;gmaps buat arah jaklingko buat jaklingko mikro dan brt pun intended moovit buat brt dan non brt untuk kereta ikut masing perusahaan ribet ya ;"0,862068966";['gmaps', 'buat', 'arah', 'jaklingko', 'buat', 'jaklingko', 'mikro', 'dan', 'brt', 'pun', 'intended', 'moovit', 'buat', 'brt', 'dan', 'non', 'brt', 'untuk', 'kereta', 'ikut', 'masing', 'perusahaan', 'ribet', 'ya'];['gmaps', 'arah', 'jaklingko', 'jaklingko', 'mikro', 'brt', 'intended', 'moovit', 'brt', 'non', 'brt', 'kereta', 'perusahaan', 'ribet', 'ya'];['gmaps', 'arah', 'jaklingko', 'jaklingko', 'mikro', 'brt', 'intended', 'moovit', 'brt', 'non', 'brt', 'kereta', 'usaha', 'ribet', 'ya'];gmaps arah jaklingko jaklingko mikro brt intended moovit brt non brt kereta usaha ribet ya;0
14;otwduls;bayangkan jaklingko ga punya akun resmi twitter humasnya jaklingko juga tidak ada statementnya di sosmed ;"3,571428571";['bayangkan', 'jaklingko', 'ga', 'punya', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'juga', 'tidak', 'ada', 'statementnya', 'di', 'sosmed'];['bayangkan', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'statementnya', 'sosmed'];['bayang', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humas', 'jaklingko', 'statementnya', 'sosmed'];bayang jaklingko ga akun resmi twitter humas jaklingko statementnya sosmed;-1
15;opcei;wkwk naik jaklingko abangnya asik bgt biasanya galak galak  ;"0";['wkwk', 'naik', 'jaklingko', 'abangnya', 'asik', 'bgt', 'biasanya', 'galak', 'galak'];['wkwk', 'jaklingko', 'abangnya', 'asik', 'bgt', 'galak', 'galak'];['wkwk', 'jaklingko', 'abang', 'asik', 'bgt', 'galak', 'galak'];wkwk jaklingko abang asik bgt galak galak;-1
16;Muhadi40420790;seharusnya kartu registrasi nya di cek saldo bukannya di mesin tap in sy aja pakai kartu jaklingko dan plaz di krl ga ribet registrasi di cek saldo langsung bisa di pakai di krl ;"0";['seharusnya', 'kartu', 'registrasi', 'nya', 'di', 'cek', 'saldo', 'bukannya', 'di', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'dan', 'plaz', 'di', 'krl', 'ga', 'ribet', 'registrasi', 'di', 'cek', 'saldo', 'langsung', 'bisa', 'di', 'pakai', 'di', 'krl'];['kartu', 'registrasi', 'nya', 'cek', 'saldo', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'plaz', 'krl', 'ga', 'ribet', 'registrasi', 'cek', 'saldo', 'langsung', 'pakai', 'krl'];['kartu', 'registrasi', 'nya', 'cek', 'saldo', 'mesin', 'tap', 'in', 'sy', 'aja', 'pakai', 'kartu', 'jaklingko', 'plaz', 'krl', 'ga', 'ribet', 'registrasi', 'cek', 'saldo', 'langsung', 'pakai', 'krl'];kartu registrasi nya cek saldo mesin tap in sy aja pakai kartu jaklingko plaz krl ga ribet registrasi cek saldo langsung pakai krl;-1
17;DukuhAtasBNI;gua pake kartu jaklingko jd aman pake kartu lain nya nanti aja kalo udh bener sistemnya ;"0";['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'lain', 'nya', 'nanti', 'aja', 'kalo', 'udh', 'bener', 'sistemnya'];['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'nya', 'aja', 'kalo', 'udh', 'bener', 'sistemnya'];['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'nya', 'aja', 'kalo', 'udh', 'bener', 'sistem'];gua pake kartu jaklingko jd aman pake kartu nya aja kalo udh bener sistem;1
18;Rafiyr33;bayangkan jaklingko ga punya akun resmi twitter humasnya jaklingko juga tidak ada statementnya di sosmed ;"55,55555556";['bayangkan', 'jaklingko', 'ga', 'punya', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'juga', 'tidak', 'ada', 'statementnya', 'di', 'sosmed'];['bayangkan', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humasnya', 'jaklingko', 'statementnya', 'sosmed'];['bayang', 'jaklingko', 'ga', 'akun', 'resmi', 'twitter', 'humas', 'jaklingko', 'statementnya', 'sosmed'];bayang jaklingko ga akun resmi twitter humas jaklingko statementnya sosmed;-1
19;graciannalina;disuruh download aplikasi jaklingko ya bolehlah masih berguna lah akun fello buat apa saya daftarin informasi saya di aplikasi yg tidak saya gunakan no thanks ambil aja  saya eh  ribuan pengguna tj yg kalian rugikan ;"0";['disuruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'bolehlah', 'masih', 'berguna', 'lah', 'akun', 'fello', 'buat', 'apa', 'saya', 'daftarin', 'informasi', 'saya', 'di', 'aplikasi', 'yg', 'tidak', 'saya', 'gunakan', 'no', 'thanks', 'ambil', 'aja', 'saya', 'eh', 'ribuan', 'pengguna', 'tj', 'yg', 'kalian', 'rugikan'];['disuruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'berguna', 'akun', 'fello', 'daftarin', 'informasi', 'aplikasi', 'yg', 'no', 'thanks', 'ambil', 'aja', 'eh', 'ribuan', 'pengguna', 'tj', 'yg', 'rugikan'];['suruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'guna', 'akun', 'fello', 'daftarin', 'informasi', 'aplikasi', 'yg', 'no', 'thanks', 'ambil', 'aja', 'eh', 'ribu', 'guna', 'tj', 'yg', 'rugi'];suruh download aplikasi jaklingko ya guna akun fello daftarin informasi aplikasi yg no thanks ambil aja eh ribu guna tj yg rugi;-1
20;garangasemanis;mesti pake jaklingko klo ada kartubiyubatau bni tap cash free ;"0";['mesti', 'pake', 'jaklingko', 'klo', 'ada', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free'];['mesti', 'pake', 'jaklingko', 'klo', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free'];['mesti', 'pake', 'jaklingko', 'klo', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free'];mesti pake jaklingko klo kartubiyubatau bni tap cash free;0
21;Randomt61609964;sudah miminnnn ngerti ngga sih sudah saya wa duanya tp ribet bgt mesti download app jaklingko lah download app fello lah mesti dibinding dulu ribet bgt loh ga bisa diganti secara manual aja gtu di halte dgn nunjukin bukti transaksi mana wa nya jg slow respon ;"0,534759358";['sudah', 'miminnnn', 'ngerti', 'ngga', 'sih', 'sudah', 'saya', 'wa', 'duanya', 'tp', 'ribet', 'bgt', 'mesti', 'download', 'app', 'jaklingko', 'lah', 'download', 'app', 'fello', 'lah', 'mesti', 'dibinding', 'dulu', 'ribet', 'bgt', 'loh', 'ga', 'bisa', 'diganti', 'secara', 'manual', 'aja', 'gtu', 'di', 'halte', 'dgn', 'nunjukin', 'bukti', 'transaksi', 'mana', 'wa', 'nya', 'jg', 'slow', 'respon'];['miminnnn', 'ngerti', 'ngga', 'sih', 'wa', 'duanya', 'tp', 'ribet', 'bgt', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'fello', 'mesti', 'dibinding', 'ribet', 'bgt', 'loh', 'ga', 'diganti', 'manual', 'aja', 'gtu', 'halte', 'dgn', 'nunjukin', 'bukti', 'transaksi', 'wa', 'nya', 'jg', 'slow', 'respon'];['miminnnn', 'ngerti', 'ngga', 'sih', 'wa', 'dua', 'tp', 'ribet', 'bgt', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'fello', 'mesti', 'dibinding', 'ribet', 'bgt', 'loh', 'ga', 'ganti', 'manual', 'aja', 'gtu', 'halte', 'dgn', 'nunjukin', 'bukti', 'transaksi', 'wa', 'nya', 'jg', 'slow', 'respon'];miminnnn ngerti ngga sih wa dua tp ribet bgt mesti download app jaklingko download app fello mesti dibinding ribet bgt loh ga ganti manual aja gtu halte dgn nunjukin bukti transaksi wa nya jg slow respon;0
22;Randomt61609964;admin ini prosedur pengembalian dananya ngga bisa lebib simple lg apa ribet bgt loh mesti download app jaklingko download app tambahan lg lah si fellilo itu trs trnyata mesti hrs diaktifin pula di bct nyagmn si kalian yg salah bikin ribet kok jd konsumen yg ribet ;"0";['admin', 'ini', 'prosedur', 'pengembalian', 'dananya', 'ngga', 'bisa', 'lebib', 'simple', 'lg', 'apa', 'ribet', 'bgt', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambahan', 'lg', 'lah', 'si', 'fellilo', 'itu', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'pula', 'di', 'bct', 'nyagmn', 'si', 'kalian', 'yg', 'salah', 'bikin', 'ribet', 'kok', 'jd', 'konsumen', 'yg', 'ribet'];['admin', 'prosedur', 'pengembalian', 'dananya', 'ngga', 'lebib', 'simple', 'lg', 'ribet', 'bgt', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambahan', 'lg', 'si', 'fellilo', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'bct', 'nyagmn', 'si', 'yg', 'salah', 'bikin', 'ribet', 'jd', 'konsumen', 'yg', 'ribet'];['admin', 'prosedur', 'kembali', 'dana', 'ngga', 'lebib', 'simple', 'lg', 'ribet', 'bgt', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambah', 'lg', 'si', 'fellilo', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'bct', 'nyagmn', 'si', 'yg', 'salah', 'bikin', 'ribet', 'jd', 'konsumen', 'yg', 'ribet'];admin prosedur kembali dana ngga lebib simple lg ribet bgt loh mesti download app jaklingko download app tambah lg si fellilo trs trnyata mesti hrs diaktifin bct nyagmn si yg salah bikin ribet jd konsumen yg ribet;-1
23;randhilicious;di app jaklingko kemarin ada broadcast kalo mulai kemarin ada penerapan tarif integrasi jaklingko khusus utk metode pakai kartu mudah dan hemat ;"0";['di', 'app', 'jaklingko', 'kemarin', 'ada', 'broadcast', 'kalo', 'mulai', 'kemarin', 'ada', 'penerapan', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'dan', 'hemat'];['app', 'jaklingko', 'kemarin', 'broadcast', 'kalo', 'kemarin', 'penerapan', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'hemat'];['app', 'jaklingko', 'kemarin', 'broadcast', 'kalo', 'kemarin', 'terap', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'hemat'];app jaklingko kemarin broadcast kalo kemarin terap tarif integrasi jaklingko khusus utk metode pakai kartu mudah hemat;1
24;edwin_basuki;jaklingko isinya kan subkon siapa yg mau koordinir urusan kyk gini ;"0";['jaklingko', 'isinya', 'kan', 'subkon', 'siapa', 'yg', 'mau', 'koordinir', 'urusan', 'kyk', 'gini'];['jaklingko', 'isinya', 'subkon', 'yg', 'koordinir', 'urusan', 'kyk', 'gini'];['jaklingko', 'isi', 'subkon', 'yg', 'koordinir', 'urus', 'kyk', 'gin'];jaklingko isi subkon yg koordinir urus kyk gin;-1
25;wissnu0212;ujungnya semua harus pake kartu jaklingkocuaannncuannnn ;"0";['ujungnya', 'semua', 'harus', 'pake', 'kartu', 'jaklingkocuaannncuannnn'];['ujungnya', 'pake', 'kartu', 'jaklingkocuaannncuannnn'];['ujung', 'pake', 'kartu', 'jaklingkocuaannncuannnn'];ujung pake kartu jaklingkocuaannncuannnn;1
26;LeonardEricLie;mau cc tim hore jaklingko di twiter udh males duluan liat akunnya ;"0,308641975";['mau', 'cc', 'tim', 'hore', 'jaklingko', 'di', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akunnya'];['cc', 'tim', 'hore', 'jaklingko', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akunnya'];['cc', 'tim', 'hore', 'jaklingko', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akun'];cc tim hore jaklingko twiter udh males duluan liat akun;-1
