,id,link,author,description,source,favorite_count,retweet_count,lang,tweet_type,user_statuses_count,user_friends_count,user_followers_count,boost_value,token,re_stop,stem,join
16,17,https://twitter.com/DukuhAtasBNI/statuses/1577555753342500864,DukuhAtasBNI,gua pake kartu jaklingko jd aman pake kartu lain nya nanti aja kalo udh bener sistemnya ,Twitter Web App,0,0,in,reply,57133,989,24754,0,"['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'lain', 'nya', 'nanti', 'aja', 'kalo', 'udh', 'bener', 'sistemnya']","['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'nya', 'aja', 'kalo', 'udh', 'bener', 'sistemnya']","['gua', 'pake', 'kartu', 'jaklingko', 'jd', 'aman', 'pake', 'kartu', 'nya', 'aja', 'kalo', 'udh', 'bener', 'sistem']",gua pake kartu jaklingko jd aman pake kartu nya aja kalo udh bener sistem
18,19,https://twitter.com/graciannalina/statuses/1577551624880676864,graciannalina,disuruh download aplikasi jaklingko ya bolehlah masih berguna lah akun fello buat apa saya daftarin informasi saya di aplikasi yg tidak saya gunakan no thanks ambil aja  saya eh  ribuan pengguna tj yg kalian rugikan ,Twitter for Android,0,0,in,reply,13199,381,281,0,"['disuruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'bolehlah', 'masih', 'berguna', 'lah', 'akun', 'fello', 'buat', 'apa', 'saya', 'daftarin', 'informasi', 'saya', 'di', 'aplikasi', 'yg', 'tidak', 'saya', 'gunakan', 'no', 'thanks', 'ambil', 'aja', 'saya', 'eh', 'ribuan', 'pengguna', 'tj', 'yg', 'kalian', 'rugikan']","['disuruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'berguna', 'akun', 'fello', 'daftarin', 'informasi', 'aplikasi', 'no', 'thanks', 'ambil', 'aja', 'eh', 'ribuan', 'pengguna', 'rugikan']","['suruh', 'download', 'aplikasi', 'jaklingko', 'ya', 'guna', 'akun', 'fello', 'daftarin', 'informasi', 'aplikasi', 'no', 'thanks', 'ambil', 'aja', 'eh', 'ribu', 'guna', 'rugi']",suruh download aplikasi jaklingko ya guna akun fello daftarin informasi aplikasi no thanks ambil aja eh ribu guna rugi
19,20,https://twitter.com/garangasemanis/statuses/1577548441471062016,garangasemanis,mesti pake jaklingko klo ada kartubiyubatau bni tap cash free ,Twitter for Android,0,0,in,reply,895,123,28,0,"['mesti', 'pake', 'jaklingko', 'klo', 'ada', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free']","['mesti', 'pake', 'jaklingko', 'klo', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free']","['mesti', 'pake', 'jaklingko', 'klo', 'kartubiyubatau', 'bni', 'tap', 'cash', 'free']",mesti pake jaklingko klo kartubiyubatau bni tap cash free
20,21,https://twitter.com/Randomt61609964/statuses/1577547428139761664,Randomt61609964,sudah miminnnn ngerti ngga sih sudah saya wa duanya tp ribet bgt mesti download app jaklingko lah download app fello lah mesti dibinding dulu ribet bgt loh ga bisa diganti secara manual aja gtu di halte dgn nunjukin bukti transaksi mana wa nya jg slow respon ,Twitter for Android,1,0,in,reply,13543,1678,187,"0,534759358","['sudah', 'miminnnn', 'ngerti', 'ngga', 'sih', 'sudah', 'saya', 'wa', 'duanya', 'tp', 'ribet', 'bgt', 'mesti', 'download', 'app', 'jaklingko', 'lah', 'download', 'app', 'fello', 'lah', 'mesti', 'dibinding', 'dulu', 'ribet', 'bgt', 'loh', 'ga', 'bisa', 'diganti', 'secara', 'manual', 'aja', 'gtu', 'di', 'halte', 'dgn', 'nunjukin', 'bukti', 'transaksi', 'mana', 'wa', 'nya', 'jg', 'slow', 'respon']","['miminnnn', 'ngerti', 'ngga', 'sih', 'wa', 'duanya', 'tp', 'ribet', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'fello', 'mesti', 'dibinding', 'ribet', 'loh', 'ga', 'diganti', 'manual', 'aja', 'gtu', 'halte', 'nunjukin', 'bukti', 'transaksi', 'wa', 'nya', 'jg', 'slow', 'respon']","['miminnnn', 'ngerti', 'ngga', 'sih', 'wa', 'dua', 'tp', 'ribet', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'fello', 'mesti', 'dibinding', 'ribet', 'loh', 'ga', 'ganti', 'manual', 'aja', 'gtu', 'halte', 'nunjukin', 'bukti', 'transaksi', 'wa', 'nya', 'jg', 'slow', 'respon']",miminnnn ngerti ngga sih wa dua tp ribet mesti download app jaklingko download app fello mesti dibinding ribet loh ga ganti manual aja gtu halte nunjukin bukti transaksi wa nya jg slow respon
21,22,https://twitter.com/Randomt61609964/statuses/1577545505063993344,Randomt61609964,admin ini prosedur pengembalian dananya ngga bisa lebib simple lg apa ribet bgt loh mesti download app jaklingko download app tambahan lg lah si fellilo itu trs trnyata mesti hrs diaktifin pula di bct nyagmn si kalian yg salah bikin ribet kok jd konsumen yg ribet ,Twitter for Android,0,0,in,reply,13543,1678,187,0,"['admin', 'ini', 'prosedur', 'pengembalian', 'dananya', 'ngga', 'bisa', 'lebib', 'simple', 'lg', 'apa', 'ribet', 'bgt', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambahan', 'lg', 'lah', 'si', 'fellilo', 'itu', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'pula', 'di', 'bct', 'nyagmn', 'si', 'kalian', 'yg', 'salah', 'bikin', 'ribet', 'kok', 'jd', 'konsumen', 'yg', 'ribet']","['admin', 'prosedur', 'pengembalian', 'dananya', 'ngga', 'lebib', 'simple', 'lg', 'ribet', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambahan', 'lg', 'si', 'fellilo', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'bct', 'nyagmn', 'si', 'salah', 'bikin', 'ribet', 'jd', 'konsumen', 'ribet']","['admin', 'prosedur', 'kembali', 'dana', 'ngga', 'lebib', 'simple', 'lg', 'ribet', 'loh', 'mesti', 'download', 'app', 'jaklingko', 'download', 'app', 'tambah', 'lg', 'si', 'fellilo', 'trs', 'trnyata', 'mesti', 'hrs', 'diaktifin', 'bct', 'nyagmn', 'si', 'salah', 'bikin', 'ribet', 'jd', 'konsumen', 'ribet']",admin prosedur kembali dana ngga lebib simple lg ribet loh mesti download app jaklingko download app tambah lg si fellilo trs trnyata mesti hrs diaktifin bct nyagmn si salah bikin ribet jd konsumen ribet
22,23,https://twitter.com/randhilicious/statuses/1577544677267771394,randhilicious,di app jaklingko kemarin ada broadcast kalo mulai kemarin ada penerapan tarif integrasi jaklingko khusus utk metode pakai kartu mudah dan hemat ,Twitter for Android,0,0,in,reply,11224,369,762,0,"['di', 'app', 'jaklingko', 'kemarin', 'ada', 'broadcast', 'kalo', 'mulai', 'kemarin', 'ada', 'penerapan', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'dan', 'hemat']","['app', 'jaklingko', 'kemarin', 'broadcast', 'kalo', 'kemarin', 'penerapan', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'hemat']","['app', 'jaklingko', 'kemarin', 'broadcast', 'kalo', 'kemarin', 'terap', 'tarif', 'integrasi', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'mudah', 'hemat']",app jaklingko kemarin broadcast kalo kemarin terap tarif integrasi jaklingko khusus utk metode pakai kartu mudah hemat
23,24,https://twitter.com/edwin_basuki/statuses/1577542701226274816,edwin_basuki,jaklingko isinya kan subkon siapa yg mau koordinir urusan kyk gini ,Twitter for Android,0,0,in,reply,85075,982,633,0,"['jaklingko', 'isinya', 'kan', 'subkon', 'siapa', 'yg', 'mau', 'koordinir', 'urusan', 'kyk', 'gini']","['jaklingko', 'isinya', 'subkon', 'koordinir', 'urusan', 'kyk', 'gini']","['jaklingko', 'isi', 'subkon', 'koordinir', 'urus', 'kyk', 'gin']",jaklingko isi subkon koordinir urus kyk gin
24,25,https://twitter.com/wissnu0212/statuses/1577542548973047809,wissnu0212,ujungnya semua harus pake kartu jaklingkocuaannncuannnn ,Twitter for Android,0,0,in,reply,637,96,55,0,"['ujungnya', 'semua', 'harus', 'pake', 'kartu', 'jaklingkocuaannncuannnn']","['ujungnya', 'pake', 'kartu']","['ujung', 'pake', 'kartu']",ujung pake kartu
25,26,https://twitter.com/LeonardEricLie/statuses/1577542208076812289,LeonardEricLie,mau cc tim hore jaklingko di twiter udh males duluan liat akunnya ,Twitter for Android,0,1,in,retweet,77507,53,324,"0,308641975","['mau', 'cc', 'tim', 'hore', 'jaklingko', 'di', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akunnya']","['tim', 'hore', 'jaklingko', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akunnya']","['tim', 'hore', 'jaklingko', 'twiter', 'udh', 'males', 'duluan', 'liat', 'akun']",tim hore jaklingko twiter udh males duluan liat akun
26,27,https://twitter.com/randhilicious/statuses/1577541506914975744,randhilicious,coba aja langsung mas instal beli tiketnya cobain deh kalo seblmnya pakai qr tiket di app jaklingko udah bbrp kali pakai so far lancar itu kalo ngerti cara pakainya alias ga gaptek aja tapi kalo skrg ternyata udah bisa pakai kartu sesuai broadcast dari app jaklingko ,Twitter for Android,0,0,in,reply,11224,369,762,0,"['coba', 'aja', 'langsung', 'mas', 'instal', 'beli', 'tiketnya', 'cobain', 'deh', 'kalo', 'seblmnya', 'pakai', 'qr', 'tiket', 'di', 'app', 'jaklingko', 'udah', 'bbrp', 'kali', 'pakai', 'so', 'far', 'lancar', 'itu', 'kalo', 'ngerti', 'cara', 'pakainya', 'alias', 'ga', 'gaptek', 'aja', 'tapi', 'kalo', 'skrg', 'ternyata', 'udah', 'bisa', 'pakai', 'kartu', 'sesuai', 'broadcast', 'dari', 'app', 'jaklingko']","['coba', 'aja', 'langsung', 'mas', 'instal', 'beli', 'tiketnya', 'cobain', 'deh', 'kalo', 'seblmnya', 'pakai', 'qr', 'tiket', 'app', 'jaklingko', 'udah', 'bbrp', 'kali', 'pakai', 'so', 'far', 'lancar', 'kalo', 'ngerti', 'pakainya', 'alias', 'ga', 'gaptek', 'aja', 'kalo', 'skrg', 'udah', 'pakai', 'kartu', 'sesuai', 'broadcast', 'app', 'jaklingko']","['coba', 'aja', 'langsung', 'mas', 'instal', 'beli', 'tiket', 'cobain', 'deh', 'kalo', 'seblmnya', 'pakai', 'qr', 'tiket', 'app', 'jaklingko', 'udah', 'bbrp', 'kali', 'pakai', 'so', 'far', 'lancar', 'kalo', 'ngerti', 'pakai', 'alias', 'ga', 'gaptek', 'aja', 'kalo', 'skrg', 'udah', 'pakai', 'kartu', 'sesuai', 'broadcast', 'app', 'jaklingko']",coba aja langsung mas instal beli tiket cobain deh kalo seblmnya pakai qr tiket app jaklingko udah bbrp kali pakai so far lancar kalo ngerti pakai alias ga gaptek aja kalo skrg udah pakai kartu sesuai broadcast app jaklingko
27,28,https://twitter.com/MadaPirmada/statuses/1577541375457136640,MadaPirmada,bener bgt uda gt saya mau reset di halte saya turun ternyata kartu flazz bca lama tidak bisa td untung punya jaklingko bikin peraturan baru tp tidak siap semua alur nya zzz ,Twitter for Android,0,1,in,retweet,6570,816,193,"0,518134715","['bener', 'bgt', 'uda', 'gt', 'saya', 'mau', 'reset', 'di', 'halte', 'saya', 'turun', 'ternyata', 'kartu', 'flazz', 'bca', 'lama', 'tidak', 'bisa', 'td', 'untung', 'punya', 'jaklingko', 'bikin', 'peraturan', 'baru', 'tp', 'tidak', 'siap', 'semua', 'alur', 'nya', 'zzz']","['bener', 'uda', 'gt', 'reset', 'halte', 'turun', 'kartu', 'flazz', 'bca', 'td', 'untung', 'jaklingko', 'bikin', 'peraturan', 'tp', 'alur', 'nya', 'zzz']","['bener', 'uda', 'gt', 'reset', 'halte', 'turun', 'kartu', 'flazz', 'bca', 'td', 'untung', 'jaklingko', 'bikin', 'atur', 'tp', 'alur', 'nya', 'zzz']",bener uda gt reset halte turun kartu flazz bca td untung jaklingko bikin atur tp alur nya zzz
30,31,https://twitter.com/HaloSdrFikri/statuses/1577539937939120128,HaloSdrFikri,untuk kendala yang kakak alami kami sarankan mengunduh aplikasi jaklingko dan melakukan pairing kartu pada aplikasi jaklingko untuk proses refund setelah itu kakak harus melakukan binding menghubungkan jaklingko apps dengan fello dan proses dilakukan pada akun fello pengguna ,Twitter for iPhone,3,0,in,reply,31049,562,962,"0,311850312","['untuk', 'kendala', 'yang', 'kakak', 'alami', 'kami', 'sarankan', 'mengunduh', 'aplikasi', 'jaklingko', 'dan', 'melakukan', 'pairing', 'kartu', 'pada', 'aplikasi', 'jaklingko', 'untuk', 'proses', 'refund', 'setelah', 'itu', 'kakak', 'harus', 'melakukan', 'binding', 'menghubungkan', 'jaklingko', 'apps', 'dengan', 'fello', 'dan', 'proses', 'dilakukan', 'pada', 'akun', 'fello', 'pengguna']","['kendala', 'kakak', 'alami', 'sarankan', 'mengunduh', 'aplikasi', 'jaklingko', 'pairing', 'kartu', 'aplikasi', 'jaklingko', 'proses', 'refund', 'kakak', 'binding', 'menghubungkan', 'jaklingko', 'apps', 'fello', 'proses', 'akun', 'fello', 'pengguna']","['kendala', 'kakak', 'alami', 'saran', 'unduh', 'aplikasi', 'jaklingko', 'pairing', 'kartu', 'aplikasi', 'jaklingko', 'proses', 'refund', 'kakak', 'binding', 'hubung', 'jaklingko', 'apps', 'fello', 'proses', 'akun', 'fello', 'guna']",kendala kakak alami saran unduh aplikasi jaklingko pairing kartu aplikasi jaklingko proses refund kakak binding hubung jaklingko apps fello proses akun fello guna
31,32,https://twitter.com/randhilicious/statuses/1577538665466978306,randhilicious,ternyata ada pnerapan sistem tarif integrasi antarmoda pakai jaklingko khusus utk metode pakai kartu jd skrg ga cuma pakai app jaklingko tapi jg bisa pakai kartu tapi kartunya mesti diaktivasi dulu di reader khusus jaklingko enak sih ,Twitter for Android,0,0,in,reply,11224,369,762,0,"['ternyata', 'ada', 'pnerapan', 'sistem', 'tarif', 'integrasi', 'antarmoda', 'pakai', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'jd', 'skrg', 'ga', 'cuma', 'pakai', 'app', 'jaklingko', 'tapi', 'jg', 'bisa', 'pakai', 'kartu', 'tapi', 'kartunya', 'mesti', 'diaktivasi', 'dulu', 'di', 'reader', 'khusus', 'jaklingko', 'enak', 'sih']","['pnerapan', 'sistem', 'tarif', 'integrasi', 'antarmoda', 'pakai', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'jd', 'skrg', 'ga', 'pakai', 'app', 'jaklingko', 'jg', 'pakai', 'kartu', 'kartunya', 'mesti', 'diaktivasi', 'reader', 'khusus', 'jaklingko', 'enak', 'sih']","['pnerapan', 'sistem', 'tarif', 'integrasi', 'antarmoda', 'pakai', 'jaklingko', 'khusus', 'utk', 'metode', 'pakai', 'kartu', 'jd', 'skrg', 'ga', 'pakai', 'app', 'jaklingko', 'jg', 'pakai', 'kartu', 'kartu', 'mesti', 'diaktivasi', 'reader', 'khusus', 'jaklingko', 'enak', 'sih']",pnerapan sistem tarif integrasi antarmoda pakai jaklingko khusus utk metode pakai kartu jd skrg ga pakai app jaklingko jg pakai kartu kartu mesti diaktivasi reader khusus jaklingko enak sih
33,34,https://twitter.com/adnihdx/statuses/1577535820122456064,adnihdx,min ini  kartu untuk  pengguna berlaku buat flazz bca juga atau cuma kartu jaklingko aja ,Twitter Web App,0,0,in,reply,29873,1397,1441,0,"['min', 'ini', 'kartu', 'untuk', 'pengguna', 'berlaku', 'buat', 'flazz', 'bca', 'juga', 'atau', 'cuma', 'kartu', 'jaklingko', 'aja']","['min', 'kartu', 'pengguna', 'berlaku', 'flazz', 'bca', 'kartu', 'jaklingko', 'aja']","['min', 'kartu', 'guna', 'laku', 'flazz', 'bca', 'kartu', 'jaklingko', 'aja']",min kartu guna laku flazz bca kartu jaklingko aja
